id,Category,course title,Credit hours,course ID,class code
241,Humanities,HIST 2075 German Civilization (3),3,HIST,2075
242,Humanities,HIST 2096 East Asian Civilization Since 1800 (3),3,HIST,2096
243,Humanities,HIST 2100 Introduction to Asia (3),3,HIST,2100
244,Humanities,HIST 2125 The History of Premodern Cities (3),3,HIST,2125
245,Humanities,HIST 2126 Cities in European History since 1500 (3),3,HIST,2126
246,Humanities,HIST 2160 Contemporary Middle East (3),3,HIST,2160
247,Humanities,HIST 2184 Introduction to African Civilizations (3),3,HIST,2184
248,Humanities,HIST 2186 Post-Colonial Africa (3),3,HIST,2186
249,Humanities,HNRS 2000 Critical Analysis (3),3,HNRS,2000
250,Humanities,HNRS 2012 The 19th Century (3),3,HNRS,2012
251,Humanities,HNRS 2013 The 20th Century (3),3,HNRS,2013
252,Humanities,HNRS 2020 Contemporary Studies (3),3,HNRS,2020
253,Humanities,HNRS 2030 Humanities Colloquium (3),3,HNRS,2030
254,Humanities,HNRS 2100 The Great Conversations (3),3,HNRS,2100
255,Humanities,HNRS 2402 Classical Civilization in the Mediterranean World (3),3,HNRS,2402
256,Humanities,HNRS 2404 Medieval Civilization in Western Europe (3),3,HNRS,2404
257,Humanities,HNRS 2406 European Civilization from 1400 to 1789 (3),3,HNRS,2406
258,Humanities,HNRS 2408 Modern Europe (3),3,HNRS,2408
259,Humanities,ITAL 1001 Elementary Italian (4),4,ITAL,1001
260,Humanities,ITAL 1002 Elementary Italian (4),4,ITAL,1002
261,Humanities,ITAL 2101 Intermediate Italian (3),3,ITAL,2101
262,Humanities,ITAL 2102 Intermediate Italian (3),3,ITAL,2102
263,Humanities,ITAL 2155 Readings in Italian Literature (3),3,ITAL,2155
264,Humanities,LA 1203 Views of the American Landscape (3),3,LA,1203
265,Humanities,LATN 1001 Elementary Latin (4),4,LATN,1001
266,Humanities,LATN 2051 Intermediate Latin (4),4,LATN,2051
267,Humanities,LATN 2053 Intermediate Latin (3),3,LATN,2053
268,Humanities,LATN 2065 Golden Age Narrative Poetry (3),3,LATN,2065
269,Humanities,LATN 2066 Golden Age Prose (3),3,LATN,2066
270,Humanities,PHIL 1000 Introduction to Philosophy (3),3,PHIL,1000
271,Humanities,PHIL 2020 Ethics (3),3,PHIL,2020
272,Humanities,REL 1000 Religions of the World (3),3,REL,1000
273,Humanities,REL 1005 New Testament (3),3,REL,1005
274,Humanities,REL 2000 Introduction to the Study of Religion (3),3,REL,2000
275,Humanities,REL 2001 Faith and Doubt (3),3,REL,2001
276,Humanities,REL 2027 Asian Religions (3),3,REL,2027
277,Humanities,"REL 2029 Judaism, Christianity and Islam (3)",3,REL,2029
278,Humanities,REL 2033 American Religions (3),3,REL,2033
279,Humanities,SW 2500 Introduction to LGBTQ+ Studies (3),3,SW,2500
280,Humanities,SPAN 1101 Elementary Spanish (4),4,SPAN,1101
281,Humanities,SPAN 1102 Elementary Spanish (4),4,SPAN,1102
282,Humanities,SPAN 1152 Intensive Beginning Spanish (4),4,SPAN,1152
283,Humanities,SPAN 2101 Intermediate Spanish (3),3,SPAN,2101
284,Humanities,SPAN 2102 Intermediate Spanish (3),3,SPAN,2102
285,Humanities,TAM 2080 Queer Fashion (3),3,TAM,2080
286,Humanities,"WGS 2500 Introduction to Women’s, Gender, and Sexuality Studies (3)",3,WGS,2500
287,Humanities,"WGS 2501 HONORS: Introduction to Women’s, Gender, and Sexuality Studies (3)",3,WGS,2501
